Data Table for Cumulative Deaths - The United States
Date generated: Thu Sep 07 2023 17:02:51 GMT-0400 (Eastern Daylight Time)
Geography,Date,Cumulative Deaths,Death Data As Of
United States,Jun 13 2020,119385,Sep  6 2023
United States,Jun  6 2020,115158,Sep  6 2023
United States,May 30 2020,110112,Sep  6 2023
United States,May 23 2020,103952,Sep  6 2023
United States,May 16 2020,96723,Sep  6 2023
United States,May  9 2020,87494,Sep  6 2023
United States,May  2 2020,76271,Sep  6 2023
United States,Apr 25 2020,63071,Sep  6 2023
United States,Apr 18 2020,47546,Sep  6 2023
United States,Apr 11 2020,30345,Sep  6 2023
United States,Apr  4 2020,14039,Sep  6 2023
United States,Mar 28 2020,3926,Sep  6 2023
United States,Mar 21 2020,715,Sep  6 2023
United States,Mar 14 2020,129,Sep  6 2023
United States,Mar  7 2020,69,Sep  6 2023
United States,Feb 29 2020,31,Sep  6 2023
United States,Feb 22 2020,22,Sep  6 2023
United States,Feb 15 2020,16,Sep  6 2023
United States,Feb  8 2020,10,Sep  6 2023
United States,Feb  1 2020,6,Sep  6 2023
United States,Jan 25 2020,6,Sep  6 2023
United States,Jan 18 2020,3,Sep  6 2023
United States,Jan 11 2020,1,Sep  6 2023
